"tra_num_decil","rub_id_rubro","tra_mto_tramo_min","tra_mto_tramo_max"
3,116,4.000,5.000
4,116,5.000,6.000
5,116,6.000,7.000
6,116,7.000,9.000
7,116,9.000,12.000
8,116,12.000,18.000
9,116,18.000,57.000
0,117,4.000,9.000
1,117,9.000,11.000
2,117,11.000,13.000
3,117,13.000,15.000
4,117,15.000,20.000
5,117,20.000,23.000
6,117,23.000,28.000
7,117,28.000,34.000
8,117,34.000,42.000
9,117,42.000,114.000
0,118,114.000,5.000
1,118,5.000,6.000
2,118,6.000,9.000
3,118,9.000,11.000
4,118,11.000,14.000
5,118,14.000,16.000
6,118,16.000,18.000
7,118,18.000,21.000
8,118,21.000,26.000
9,118,26.000,547.000
0,119,0,2.000
1,119,2.000,3.000
2,119,3.000,3.000
3,119,3.000,4.000
4,119,4.000,4.000
5,119,4.000,5.000
6,119,5.000,6.000
7,119,6.000,8.000
8,119,8.000,10.000
9,119,10.000,490.000
0,120,0,5.000
1,120,5.000,9.000
2,120,9.000,11.000
3,120,11.000,17.000
4,120,17.000,22.000
5,120,22.000,28.000
6,120,28.000,36.000
7,120,36.000,47.000
8,120,47.000,70.000
9,120,70.000,619.000
0,152,4.000,4.000
0,158,0,1.000
1,158,1.000,2.000
2,158,2.000,5.000
3,158,5.000,8.000
4,158,8.000,12.000
5,158,12.000,15.000
6,158,15.000,20.000
7,158,20.000,30.000
8,158,30.000,40.000
9,158,40.000,100.000
0,161,0,1.000
1,161,1.000,2.000
2,161,2.000,2.000
3,161,2.000,3.000
4,161,3.000,3.000
5,161,3.000,4.000
6,161,4.000,5.000
7,161,5.000,6.000
8,161,6.000,7.000
9,161,7.000,8.000
0,165,2.000,2.000
1,165,2.000,2.000
2,165,2.000,3.000
3,199,9.000,11.000
4,199,11.000,13.000
5,199,13.000,17.000
6,199,17.000,21.000
7,199,21.000,27.000
8,199,27.000,38.000
9,199,38.000,98.000
0,202,6.000,17.000
1,202,17.000,24.000
2,202,24.000,25.000
3,202,25.000,28.000
4,202,28.000,33.000
5,202,33.000,39.000
6,202,39.000,50.000
7,202,50.000,60.000
8,202,60.000,120.000
9,202,120.000,260.000
0,206,0,13.000
1,206,13.000,19.000
2,206,19.000,32.000
3,206,32.000,44.000
4,206,44.000,58.000
5,206,58.000,80.000
6,206,80.000,119.000
7,206,119.000,188.000
8,206,188.000,413.000
9,206,413.000,6.560.000
0,208,4.000,11.000
1,208,11.000,13.000
2,208,13.000,15.000
3,208,15.000,16.000
4,208,16.000,18.000
5,208,18.000,22.000
6,208,22.000,26.000
7,208,26.000,38.000
8,208,38.000,79.000
9,208,79.000,450.000
0,210,26.000,26.000
5,210,26.000,41.000
0,211,5.000,8.000
1,211,8.000,13.000
2,211,13.000,30.000
3,211,30.000,60.000
4,211,60.000,79.000
5,211,79.000,83.000
6,211,83.000,143.000
7,211,143.000,216.000
8,211,216.000,262.000
9,211,262.000,414.000
0,212,0,10.000
1,212,10.000,15.000
2,212,15.000,19.000
3,212,19.000,27.000
4,212,27.000,38.000
5,212,38.000,49.000
6,212,49.000,67.000
7,212,67.000,106.000
8,212,106.000,196.000
9,212,196.000,5.673.000
0,213,33.000,33.000
5,213,33.000,96.000
0,214,0,10.000
1,214,10.000,14.000
2,214,14.000,19.000
3,214,19.000,25.000
4,214,25.000,33.000
5,214,33.000,45.000
6,214,45.000,64.000
7,214,64.000,90.000
8,214,90.000,222.000
9,214,222.000,2.550.000
0,216,0,30.000
1,216,30.000,39.000
2,216,39.000,48.000
3,216,48.000,56.000
4,216,56.000,64.000
5,216,64.000,75.000
6,216,75.000,89.000
